id,lat,lng
2983990,48.11198,-1.67429
2525068,37.49223,15.07041
643492,65.01236,25.46816
3133880,63.43049,10.39506
2653822,51.48,-3.18
2648579,55.86515,-4.25763
2775220,47.26266,11.39454
8300328,38.921162,16.256021
2972191,47.39484,0.70398
2988507,48.85341,2.3488
2774326,46.62472,14.30528
3173435,45.46427,9.18951
3171180,43.1122,12.38878
3170647,43.70853,10.4036
2800481,50.41136,4.44448
2990969,47.21725,-1.55336
3165185,45.64953,13.77678
2624886,57.048,9.9187
2892794,49.00937,8.40444
8700114,43.459186,-1.546073
8089044,52.516465,13.381693
8000249,47.985848,10.186954
3147465,59.95597,11.04918
2995469,43.29695,5.38107
2972315,43.60426,1.44367
5103270,53.127876,17.433796
785842,41.99646,21.43141
2655603,52.48142,-1.89983
7000819,50.726569,-3.532958
2618425,55.67594,12.56553
2944388,53.07582,8.80717
2789786,51.21551,2.927
2825297,48.78232,9.17702
8702384,45.720908,5.075822
3110044,43.31283,-1.97499
8006240,51.62434,6.197865
2925533,50.11552,8.68417
2735943,41.14961,-8.61099
7100112,37.390505,-6.554494
3104324,41.65606,-0.87734
3181928,44.49381,11.33875
2514256,36.72016,-4.42034
2960316,49.61167,6.13
3030300,48.39029,-4.48628
2643743,51.50853,-0.12574
3165524,45.07049,7.68682
3109718,43.46472,-3.80444
264371,37.98376,23.72784
734077,40.64361,22.93086
3186886,45.81444,15.97798
593116,54.68916,25.2798
2509954,39.46975,-0.37739
2759794,52.37403,4.88969
2637487,50.90395,-1.40428
2879139,51.33962,12.37129
3094802,50.06143,19.93658
6010012,53.38156,-6.371473
2644688,53.79648,-1.54785
3128760,41.38879,2.15899
2711537,57.70716,11.96679
3031582,44.84044,-0.5805
8302524,36.947283,14.60054
2657896,47.36667,8.55
3078610,49.19522,16.60796
3176219,44.40478,8.94439
8300874,45.723308,8.806282
7100028,42.870518,-8.544687
2803138,51.22047,4.40026
2973783,48.58392,7.74553
8300340,38.017278,12.519304
2624652,56.15674,10.21076
2934246,51.22172,6.77616
3117735,40.4165,-3.70256
2766824,47.79941,13.04399
2910831,52.37052,9.73322
3140390,59.13118,10.21665
2673730,59.32938,18.06871
2935022,51.05089,13.73832
2990440,43.70313,7.26608
2935517,51.51494,7.466
6000022,53.938298,-8.106508
2643123,53.48095,-2.23743
3176959,43.77925,11.24626
2521886,36.83814,-2.45974
8002120,47.672268,9.523837
727011,42.69751,23.32415
2692969,55.60587,13.00073
2800866,50.85045,4.34878
2747891,51.9225,4.47917
2756253,51.44083,5.47778
2751283,50.84833,5.68889
7115401,43.535289,-5.697732
2778067,47.06667,15.45
721472,47.53167,21.62444
3171168,42.4584,14.20283
3164527,45.4299,10.98444
8702816,44.857386,0.488744
3128026,43.26271,-2.92528
2516326,36.68645,-6.13606
3160881,67.28,14.40501
3137115,58.97005,5.73332
2772400,48.30639,14.28611
632978,63.096,21.61577
2886242,50.93333,6.95
2911298,53.55073,9.99302
2761369,48.20849,16.37208
2641673,54.97328,-1.61396
726050,43.21667,27.91667
683506,44.43225,26.10626
7500010,39.936026,32.843815
2867714,48.13743,11.57549
724443,48.71395,21.25808
2655984,54.59682,-5.92541
2650225,55.95206,-3.19648
3067696,50.08804,14.42076
3060972,48.14816,17.10674
3172394,40.85216,14.26811
667268,45.8,24.15
2200063,46.467579,30.740816
8311139,40.625409,17.90947
658225,60.16952,24.93545
3161732,60.39299,5.32415
3169070,41.89193,12.51133
2992166,43.61093,3.87635
2267057,38.71667,-9.13333
255274,37.94203,23.64619
7003040,52.862047,-1.262679
2268339,37.01869,-7.92716
2657832,57.14369,-2.09814
2792413,50.63373,5.56749
8300130,45.6597,12.245133
2964574,53.33306,-6.24889
756135,52.22977,21.01178
2644210,53.41058,-2.97794
2861650,49.45421,11.07752
3054643,47.49835,19.04045
665087,45.75372,21.22571
2660646,46.20222,6.14569
9400531,40.898806,-8.495462
3196359,46.05108,14.50513
3096472,50.25841,19.02754
2200025,49.839846,23.994196
7100077,41.979517,2.816482
3193044,42.44111,19.26361
3088171,52.40692,16.92993
2200005,50.440326,30.48919
3143244,59.91273,10.74609
2523920,38.1166,13.3636
8000297,51.712946,8.740949
681290,46.76667,23.6
8336329,43.610142,13.455611
5381107,44.003141,28.645161
3190261,43.50891,16.43915
3099434,54.35227,18.64912
2510911,37.38283,-5.97317
3182164,45.69601,9.66721
5104689,53.593616,14.896294
685948,46.56718,26.91384
2965140,51.89797,-8.47061
675810,47.16667,27.6
2654675,51.45523,-2.59665
634963,61.49911,23.78712
8302063,45.111682,8.670419
2521978,38.34517,-0.48149
792680,44.80401,20.46513
3081368,51.1,17.03333
5102293,52.17581,21.553022
638936,66.5,25.71667
633679,60.45148,22.26869
2200044,49.989391,36.203974
7500031,38.422413,27.143702
3191648,45.32673,14.44241
2755251,53.21917,6.56667
598316,54.90272,23.90961
7501624,40.991,29.037657
3149318,58.14671,7.9956
618426,47.00556,28.8575
2262963,38.5244,-8.8882
