city,lat,lng
Belgrade,44.8125449,20.46123
Niš,43.320926,21.8954069
Bratislava,48.1485965,17.1077477
Košice,48.7163857,21.2610746
Ljubljana,46.0569465,14.5057515
Alicante,38.3459963,-0.4906855
Almeria,36.834047,-2.4637136
Asturias,43.3613953,-5.8593267
Barcelona,41.3873974,2.168568
Bilbao,43.2630126,-2.9349852
Fuerteventura,28.3587436,-14.053676
Girona,41.9794005,2.8214264
Gran Canaria,27.9202202,-15.5474373
Granadaén,,-15.5474373
Ibiza,39.0200099,1.4821482
Jerez,36.6850064,-6.126074399999999
La Palma,28.7133828,-17.9057813
Lanzarote,29.0468535,-13.5899733
Madrid,40.4167754,-3.7037902
Malaga,36.721261,-4.4212655
Menorca,39.9496287,4.1104449
Palma de Mallorca,39.5696005,2.6501603
Región de Murcia,38.1398141,-1.366216
Reus,41.1498259,1.1055321
Santander,,1.1055321
Santiago de Compostela,42.8768606,-8.5441729
Seville,37.3890924,-5.9844589
Tenerife,28.2915637,-16.6291304
Valencia,39.4699075,-0.3762881
Zaragoza,41.6488226,-0.8890853
Gothenburg,57.70887,11.97456
Malmö,55.604981,13.003822
Stockholm,59.32932349999999,18.0685808
Basel,47.5595986,7.5885761
Geneva,46.2043907,6.1431577
Zurich,47.3768866,8.541694
Adana,36.9914194,35.3308285
Ankara,39.9333635,32.8597419
Antalya,36.8968908,30.7133233
Dalaman,36.76662,28.799991
Istanbul,41.0082376,28.9783589
Istanbulökcen,,28.9783589
Izmir,38.423734,27.142826
Milas,37.31163799999999,27.780795
Trabzon,41.0026969,39.7167633
Kharkiv,50.00201269999999,36.3073994
Kiev,50.4503596,30.5245025
Lviv,49.839683,24.029717
Odessa,46.4702111,30.7306393
Aberdeen,57.1498891,-2.0937528
Belfast,54.59728500000001,-5.93012
Birmingham,52.48624299999999,-1.890401
Bristol,51.454513,-2.58791
Cardiff,51.483707,-3.1680962
East Midlands,,-3.1680962
Edinburgh,55.953252,-3.188267
Exeter,50.72603669999999,-3.5274889
Glasgow,55.86167039999999,-4.2583345
Jersey,49.2137711,-2.1357662
Leeds,53.8007554,-1.5490774
Liverpool,53.4083714,-2.9915726
London,51.5072178,-0.1275862
Manchester,53.4807593,-2.2426305
Newcastle,54.978252,-1.61778
Southampton,50.9105468,-1.4049018
