iata_code,lat,lng
ZRH,47.45264,8.5605
ADA,36.98217,35.28039
ESB,40.12808,32.99508
AYT,36.89873,30.80046
DLM,36.71306,28.7925
IST,41.2629,28.74242
SAW,40.89861,29.30917
ADB,38.29239,27.15695
BJV,37.25061,27.66431
TZX,40.99511,39.78973
HRK,49.92479,36.28999
KBP,50.345,30.89472
IEV,50.40169,30.4497
LWO,49.8125,23.95611
ODS,46.42677,30.67646
ABZ,57.20194,-2.19778
BHD,54.61806,-5.8725
BFS,54.6575,-6.21583
BHX,52.45386,-1.74803
BRS,51.38267,-2.71909
CWL,51.39667,-3.34333
EMA,52.83111,-1.32806
EDI,55.95,-3.3725
EXT,50.73444,-3.41389
GLA,55.87194,-4.43306
PIK,55.50944,-4.58667
JER,49.20787,-2.19456
LBA,53.8659,-1.66057
LPL,53.33333,-2.85
LCY,51.50528,0.05528
LGW,51.15609,-0.17818
LHR,51.47115,-0.45649
LTN,51.87472,-0.36833
SEN,51.57139,0.69556
STN,51.885,0.235
MAN,53.35374,-2.27495
NCL,55.0375,-1.69167
SOU,50.95026,-1.3568
