city,lat,lng,place_id
Hamburg,53.5488282,9.9871703,ChIJuRMYfoNhsUcRoDrWe_I9JgQ
Hanover,52.3758916,9.7320104,ChIJhU9JTVELsEcRIEeslG2sJQQ
Karlsruhe,49.0068901,8.4036527,ChIJCXjgokgGl0cRf-63THNV_LY
Leipzig,51.3396955,12.3730747,ChIJcywPIBj4pkcRUvW0udKA35M
Munich,48.1351253,11.5819806,ChIJ2V-Mo_l1nkcRfZixfUq4DAE
Münster,51.9606649,7.6261347,ChIJ32D3mcO6uUcR6yjze6dM6yE
Nuremberg,49.4521018,11.0766654,ChIJ0xy2ta5Xn0cRtyGMqYWvXd0
Paderborn,51.7189205,8.7575093,ChIJ2x1hYZZMukcR7iLvWCqHzHM
Stuttgart,48.7758459,9.1829321,ChIJ04-twTTbmUcR5M-RdxzB1Xk
Weeze,51.6266679,6.1968442,ChIJ3cCvczlvx0cRQHVUMYHyJwQ
Athens,37.9838096,23.7275388,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic
Chania,35.5138298,24.0180367,ChIJOz_P4L59nBQRqCzNeX1Vs5Q
Corfu,39.6242621,19.9216777,ChIJfwotqt1eWxMR0CErp-YUlAE
Heraklion,35.3387352,25.1442126,ChIJP-Fo0GtYmhQR8La54iy9AAQ
Kefalonia,38.1753675,20.5692179,ChIJix87XkTtXRMRoMS54iy9AAM
Lesvos,39.2645095,26.2777073,ChIJ9x8-96OSuhQRjU4uyhIxkqI
Mykonos,37.4414601,25.3667218,ChIJkZs88LS4ohQRobR5Hkdk0Xg
Rhodes,36.4340533,28.2176379,ChIJrU-bLvkKlRQRVNRb-BTQ7ic
Samos,37.7547857,26.9777701,ChIJ9YDX0Z8_vBQRf9y78okcqUs
Santorini,36.3931562,25.4615092,ChIJ95_9rYbOmRQR_IrWQPdhp7I
Skiathos,39.16352,23.4901667,ChIJtUIdK5ngphQRM1XYi0dqLko
Thessaloniki,40.6400629,22.9444191,ChIJ7eAoFPQ4qBQRqXTVuBXnugk
Zante,37.7870331,20.8998759,ChIJv1p73MpAZxMR0SpM4Nt0oCc
Budapest,47.497912,19.040235,ChIJyc_U0TTDQUcRYBEeDCnEAAQ
Debrecen,47.5288879,21.6254485,ChIJgyte_ioMR0cRcBEeDCnEAAQ
Keflavik,63.9997549,-22.5582716,ChIJnc-pJx4C1kgRZ6CYJ68gW4A
Cork,51.8985143,-8.4756035,ChIJYbm-kQiQREgR0MUxl6nHAAo
Dublin,53.3498053,-6.2603097,ChIJL6wn6oAOZ0gRoHExl6nHAAo
Alghero,40.5579517,8.3192949,ChIJBQzFde_x3BIRUItKn0KYkis
Ancona,43.6158299,13.518915,ChIJw6lHJCqALRMRrMU_VIBWrQ8
Bari,41.1171432,16.8718715,ChIJb40H8_joRxMR4Qg5agZUcgg
Bergamo,45.6982642,9.6772698,ChIJc65ivBFRgUcR0aTlC4_LL9M
Bologna,44.494887,11.3426163,ChIJC8RR6ZjUf0cRQZSkWwF84aI
Brindisi,40.6327278,17.9417616,ChIJbeyAyTt6RhMR-doDzPfOEAE
Cagliari,39.2238411,9.1216613,ChIJoxyOthU05xIRsW6BzwYVHiA
Catania,37.5078772,15.0830304,ChIJtSUVdt3iExMR8DzIUWGH_lg
Comiso,36.9361931,14.577181,ChIJi41fta6jERMRCMkv-XqkLus
Florence,43.7695604,11.2558136,ChIJrdbSgKZWKhMRAyrH7xd51ZM
Genoa,44.4056499,8.946256,ChIJrZrU3FJB0xIRCmKBGPGEaiM
Lamezia Terme,38.962912,16.3092719,ChIJYR5DxA_lPxMRIvzqOYvZh8g
Milan,45.4642035,9.189982,ChIJ53USP0nBhkcRjQ50xhPN_zw
Naples,40.8517983,14.26812,ChIJmX5sak8IOxMRHRl4O8Es9T0
Olbia,40.9235764,9.4964429,ChIJeepLAgRL2RIRCMiQpHAy_ns
Palermo,38.11569,13.3614868,ChIJmdBOgcnoGRMRgNg7IywECwo
Perugia,43.1107168,12.3908279,ChIJT8NR6oygLhMR9MdPiCrrOc4
Pescara,42.4617902,14.2160898,ChIJd2QouQ2mMRMR4r8ssomeuKA
Pisa,43.7228386,10.4016888,ChIJj1n28JqR1RIRyHiEp7UPuKo
Rome,41.9027835,12.4963655,ChIJu46S-ZZhLxMROG5lkwZ3D7k
Trapani,38.0173505,12.5365171,ChIJX5Ck1i9iGRMRgjSY-bze8Ys
Treviso,45.6668893,12.2430437,ChIJUd4MwdM3eUcRjXQiXACb9kI
Trieste,45.6495264,13.7768182,ChIJM_Xt5AZre0cRUCvd1IQkamY
Turin,45.0703393,7.686864,ChIJ31ztwwxtiEcR4JQ8R33mBQQ
Venice,45.4408474,12.3155151,ChIJiT3W8dqxfkcRLxCSvfDGo3s
Verona,45.4383842,10.9916215,ChIJ4-CbaWhff0cRW1mCaGNa-FM
Almaty,43.2379761,76.8828618,ChIJq8vFFn1ugzgRdm2YrY9mRD0
Astana,51.1655126,71.4272222,ChIJCUa1fcSARUIRKJKx3Y0U-Zc
Pristina,42.6629138,21.1655028,ChIJJwkRBeaeVBMRWrleON-_ZZM
Riga,56.9676941,24.1056221,ChIJ7T0H5bDP7kYRMP7yaM3PAAQ
Kaunas,54.8985207,23.9035965,ChIJQ9NnsXAi50YRvIs3x-DRS2E
Vilnius,54.6871555,25.2796514,ChIJ9QhkXPuT3UYRQNzpcIzRAAQ
Luxembourg,49.815273,6.129583,ChIJRyEhyrlFlUcR75LTAvZg22Q
Malta,35.937496,14.375416,ChIJxUeGHShFDhMROUK-NmHYgvU
Chisinau,47.0104529,28.8638103,ChIJoWm3KDZ8yUARPN1JVzDW0Tc
Podgorica,42.4304196,19.2593642,ChIJfYYGlgfoTRMR6YpY6naK92s
Tivat,42.4319094,18.6986213,ChIJxeAmNX4xTBMRxWVIe40oZHU
Amsterdam,52.3675734,4.9041389,ChIJVXealLU_xkcRja_At0z9AGY
Eindhoven,51.4231423,5.4622897,ChIJn8N5VRvZxkcRmLlkgWTSmvM
Groningen,53.2193835,6.5665018,ChIJp8xitIYyyEcR3Mim-YZQS8s
Maastricht,50.8513682,5.6909725,ChIJnwZBWOzpwEcRbqi-zHuV61M
Rotterdam,51.9244201,4.4777325,ChIJfcRUX2C3xUcRhUtelay7KVI
Skopje,41.9981294,21.4254355,ChIJpaKajKUVVBMRICCHYMKI7bI
Ålesund,62.4722284,6.149482,ChIJS_tHEEfaFkYR6o_AO-5iJeg
Bergen,60.3912628,5.3220544,ChIJd312ZkkNOUYRCAretD6gQp4
Bodø,67.2803556,14.404916,ChIJffFjW_UQ30URUzxdspNbeI4
Haugesund,59.413581,5.2679869,ChIJ_3dbqi2eO0YRZjrmiEo5JME
Kristiansand,58.1599119,8.0182064,ChIJW3pg1VgCOEYRpFgcyG8NDN8
Oslo,59.9138688,10.7522454,ChIJOfBn8mFuQUYRmh4j019gkn4
Sandefjord,59.1313095,10.2165948,ChIJK4A6VZDARkYRouE8XKJRW8M
Stavanger,58.9699756,5.7331073,ChIJlfcp3Uk1OkYRWZIKuCHreq0
Tromsø,69.6492047,18.9553238,ChIJ_XE7bFLExEUR075ujoXKPQI
Trondheim,63.4305149,10.3950528,ChIJU34DR5cxbUYR1PM8jyjI9ws
Gdansk,54.3520252,18.6466384,ChIJb_rUFBxz_UYRjb63Y_H7uZs
Katowice,50.2648919,19.0237815,ChIJ0cyhNiPOFkcRu_pZBTUqr7k
Kraków,50.0646501,19.9449799,ChIJ0RhONcBEFkcRv4pHdrW2a7Q
Poznan,52.406374,16.9251681,ChIJtwrh7NJEBEcR0b80A5gx6qQ
Szczecin-Goleniów,53.56382,14.82843,ChIJPw66ONCeAEcR5BQZhvsniao
Warsaw,52.2296756,21.0122287,ChIJAZ-GmmbMHkcR_NPqiCq-8HI
Wroclaw,51.1078852,17.0385376,ChIJv4q11MLpD0cR9eAFwq5WCbc
Faro,37.0193548,-7.9304397,ChIJp_qQIudSBQ0RWv9KSdTCc40
Lisbon,38.7222524,-9.1393366,ChIJO_PkYRozGQ0R0DaQ5L3rAAQ
Madeira,32.7607074,-16.9594723,ChIJ7y75-KDpXwwRb166dGfldww
Ponta Delgada,37.7394207,-25.6686725,ChIJlw6wdswqQwsRFsRvTvKAVXY
Porto,41.1579438,-8.6291053,ChIJwVPhxKtlJA0RvBSxQFbZSKY
Bucharest,44.4267674,26.1025384,ChIJT608vzr5sUARKKacfOMyBqw
Cluj-Napoca,46.7712101,23.6236353,ChIJiwtskR8MSUcRixQfMxxgvAs
Iasi,47.1584549,27.6014418,ChIJu9059nz7ykARPPUmVNqAy3w
Sibiu,45.8034789,24.1449997,ChIJ1Rws_YhnTEcRtJAzTiGd3jo
Timisoara,45.7488716,21.2086793,ChIJp7UPy31nRUcRSWeTc2Svf1M
Krasnodar,45.036035,38.9745706,ChIJszVFcWRF8EARtr7EVk95IPc
Moscow,55.755826,37.6173,ChIJybDUc_xKtUYRTM9XV8zWRD0
Saint Petersburg,59.9310584,30.3609097,ChIJ7WVKx4w3lkYR_46Eqz9nx20
Sochi,43.6028079,39.7341543,ChIJI0SDEeHU9UAR-F1daoZhb24
Belgrade,44.8125449,20.46123,ChIJvT-116N6WkcR5H4X8lxkuB0
Niš,43.320926,21.8954069,ChIJZR_IQMKwVUcRzcMqEuOfMVY
Bratislava,48.1485965,17.1077477,ChIJl2HKCjaJbEcRaEOI_YKbH2M
Košice,48.7163857,21.2610746,ChIJe5XGZxvgPkcR0IuXxtH3AAQ
Ljubljana,46.0569465,14.5057515,ChIJ0YaYlvUxZUcRIOw_ghz4AAQ
Alicante,38.3459963,-0.4906855,ChIJS6udO9o1Yg0R44ELrHKofR0
Almeria,36.834047,-2.4637136,ChIJwfLM7ACeeg0RXki8jh-gnY0
Asturias,43.3613953,-5.8593267,ChIJnbCeYPqMNg0ROp7GfSvztfg
Barcelona,41.3873974,2.168568,ChIJ5TCOcRaYpBIRCmZHTz37sEQ
Bilbao,43.2630126,-2.9349852,ChIJuYlLZidOTg0RRaaVHsSsNGU
Fuerteventura,28.3587436,-14.053676,ChIJgQ_Cr3OkRwwRI3-1tRMcxyo
Girona,41.9794005,2.8214264,ChIJq_3ImCfnuhIRb2oppbZFOK8
Gran Canaria,27.9202202,-15.5474373,ChIJwQe_BFWFQAwRFtuspcgWyS4
Ibiza,39.0200099,1.4821482,ChIJQzkJhWNHmRIR1iaEzSVHBgk
Jerez,36.6850064,-6.1260744,ChIJn6NESOjGDQ0R6v_Q8_U-rG0
La Palma,28.7133828,-17.9057813,ChIJO6GHagzyawwRLYgwI9I3II4
Lanzarote,29.0468535,-13.5899733,ChIJizmiHM0jRgwRGBV7xYrWoKI
Madrid,40.4167754,-3.7037902,ChIJgTwKgJcpQg0RaSKMYcHeNsQ
Malaga,36.721261,-4.4212655,ChIJLSHbT8RZcg0RzzLKyZLcJWA
Menorca,39.9496287,4.1104449,ChIJ6SC4LJ0fvhIRyXeOF4TEmlI
Palma de Mallorca,39.5696005,2.6501603,ChIJV8caxlmSlxIRxljQwwZUDcQ
Región de Murcia,38.1398141,-1.366216,ChIJza6U13waYw0RIthUR_UzzhQ
Reus,41.1498259,1.1055321,ChIJXZ5tuORQoRIR0s7eSdKQIS4
Santiago de Compostela,42.8768606,-8.5441729,ChIJp3Hd4kT-Lg0REeOHwIhoFOA
Seville,37.3890924,-5.9844589,ChIJkWK-FBFsEg0RSFb-HGIY8DQ
Tenerife,28.2915637,-16.6291304,ChIJ7YKG_u8pQAwRPK9LyPFLGrA
Valencia,39.4699075,-0.3762881,ChIJb7Dv8ExPYA0ROR1_HwFRo7Q
Zaragoza,41.6488226,-0.8890853,ChIJkY5hXt0UWQ0RqImEFfET30k
