chronotrain_id,city,train_station_lat,train_station_lng
3128760.0,Basel,21.5899,41.38879
3128026.0,Bilbao,-2.92528,43.26271
7100077.0,Girona,28.16482,41.979517
2516326.0,Jerez,-6.13606,36.68645
7100112.0,La Palma,-6.554494,37.390505
3117735.0,Madrid,-3.70256,40.4165
2514256.0,Malaga,-4.42034,36.72016
255274.0,Reus,23.64619,37.94203
3109718.0,Santander,-3.80444,43.46472
7100028.0,Santiago de Compostela,-8.544687,42.870518
2510911.0,Seville,-5.97317,37.38283
2509954.0,Valencia,-3.7739,39.46975
2711537.0,Gothenburg,11.96679,57.70716
2692969.0,Malmö,13.00073,55.60587
2660646.0,Geneva,61.4569,46.20222
2643743.0,Adana,-1.2574,51.50853
2643743.0,London,-1.2574,51.50853
2643743.0,London,-1.2574,51.50853
2643743.0,London,-1.2574,51.50853
2643743.0,London,-1.2574,51.50853
2643743.0,London,-1.2574,51.50853
2643743.0,London,-1.2574,51.50853
7500010.0,Ankara,32.843815,39.936026
7501624.0,Istanbul,29.037657,40.991
2200044.0,Kharkiv,36.203974,49.989391
2200005.0,Kiev,30.48919,50.440326
2200005.0,Kiev,30.48919,50.440326
2200025.0,Lviv,23.994196,49.839846
2657832.0,Aberdeen,-2.09814,57.14369
2655984.0,Belfast,-5.92541,54.59682
2655984.0,Belfast,-5.92541,54.59682
2655603.0,Birmingham,-1.89983,52.48142
2654675.0,Bristol,-2.59665,51.45523
2653822.0,Cardiff,-3.18,51.48
7003040.0,East Midlands,-1.262679,52.862047
2650225.0,Edinburgh,-3.19648,55.95206
7000819.0,Exeter,-3.532958,50.726569
2648579.0,Glasgow,-4.25763,55.86515
2648579.0,Glasgow,-4.25763,55.86515
2644688.0,Leeds,-1.54785,53.79648
2643123.0,Manchester,-2.23743,53.48095
2641673.0,Newcastle,-1.61396,54.97328
