,Airport,Country,icao_code,city,iata_code,airport_lat,airport_lng,iso_country_code,chronotrain_id,train_station_lat,train_station_lng,city_lat,city_lng,place_id,airport_duration,station_duration
128,Porto Airport,Portugal,LPPR,Porto,OPO,41.24806,-8.68139,PRT,2735943.0,41.14961,-8.61099,41.1579438,-8.6291053,ChIJwVPhxKtlJA0RvBSxQFbZSKY,20.5,7.116666666666666
129,Bucharest Henri Coanda Airport,Romania,LROP,Bucharest,OTP,44.57216,26.10218,ROU,683506.0,44.43225,26.10626,44.4267674,26.1025384,ChIJT608vzr5sUARKKacfOMyBqw,45.45,6.6
130,Cluj-Napoca Airport,Romania,LRCL,Cluj-Napoca,CLJ,46.78517,23.68617,ROU,681290.0,46.76667,23.6,46.7712101,23.6236353,ChIJiwtskR8MSUcRixQfMxxgvAs,12.883333333333333,7.3
131,Iasi Airport,Romania,LRIA,Iasi,IAS,47.17849,27.62063,ROU,675810.0,47.16667,27.6,47.1584549,27.6014418,ChIJu9059nz7ykARPPUmVNqAy3w,10.416666666666666,3.2
132,Sibiu Airport,Romania,LRSB,Sibiu,SBZ,45.7856,24.09134,ROU,667268.0,45.8,24.15,45.8034789,24.1449997,ChIJ1Rws_YhnTEcRtJAzTiGd3jo,13.2,4.566666666666666
133,Timisoara Airport,Romania,LRTR,Timisoara,TSR,45.80986,21.33786,ROU,665087.0,45.75372,21.22571,45.7488716,21.2086793,ChIJp7UPy31nRUcRSWeTc2Svf1M,31.433333333333334,4.65
134,Belgrade Nikola Tesla Airport,Serbia,LYBE,Belgrade,BEG,44.81844,20.30914,SRB,792680.0,44.80401,20.46513,44.8125449,20.46123,ChIJvT-116N6WkcR5H4X8lxkuB0,25.15,3.2333333333333334
136,Bratislava Airport,Slovakia,LZIB,Bratislava,BTS,48.17017,17.21267,SVK,3060972.0,48.14816,17.10674,48.1485965,17.1077477,ChIJl2HKCjaJbEcRaEOI_YKbH2M,25.633333333333333,2.7333333333333334
137,Košice Airport,Slovakia,LZKZ,Košice,KSC,48.66306,21.24111,SVK,724443.0,48.71395,21.25808,48.7163857,21.2610746,ChIJe5XGZxvgPkcR0IuXxtH3AAQ,16.566666666666666,3.966666666666667
138,Ljubljana Airport,Slovenia,LJLJ,Ljubljana,LJU,46.22369,14.45761,SVN,3196359.0,46.05108,14.50513,46.0569465,14.5057515,ChIJ0YaYlvUxZUcRIOw_ghz4AAQ,23.866666666666667,5.416666666666667
139,Alicante Airport,Spain,LEAL,Alicante,ALC,38.28217,-0.55816,ESP,2521978.0,38.34517,-0.48149,38.3459963,-0.4906855,ChIJS6udO9o1Yg0R44ELrHKofR0,20.383333333333333,6.4
140,Almeria Airport,Spain,LEAM,Almeria,LEI,36.84394,-2.3701,ESP,2521886.0,36.83814,-2.45974,36.834047,-2.4637136,ChIJwfLM7ACeeg0RXki8jh-gnY0,15.066666666666666,2.8
141,Asturias Airport,Spain,LEAS,Asturias,OVD,43.56357,-6.03462,ESP,7115401.0,43.535289,-5.697732,43.3613953,-5.8593267,ChIJnbCeYPqMNg0ROp7GfSvztfg,41.53333333333333,26.58333333333333
142,Barcelona Airport,Spain,LEBL,Barcelona,BCN,41.29708,2.07846,ESP,3128760.0,41.38879,2.15899,41.3873974,2.168568,ChIJ5TCOcRaYpBIRCmZHTz37sEQ,21.7,4.133333333333334
143,Bilbao Airport,Spain,LEBB,Bilbao,BIO,43.3011,-2.91061,ESP,3128026.0,43.26271,-2.92528,43.2630126,-2.9349852,ChIJuYlLZidOTg0RRaaVHsSsNGU,10.283333333333331,5.466666666666667
144,Girona Airport,Spain,LEGE,Girona,GRO,41.90097,2.76055,ESP,7100077.0,41.979517,2.816482,41.9794005,2.8214264,ChIJq_3ImCfnuhIRb2oppbZFOK8,23.28333333333333,10.75
145,Jerez Airport,Spain,LEJR,Jerez,XRY,36.74462,-6.06011,ESP,2516326.0,36.68645,-6.13606,36.6850064,-6.1260744,ChIJn6NESOjGDQ0R6v_Q8_U-rG0,24.25,6.166666666666667
147,Madrid Barajas Airport,Spain,LEMD,Madrid,MAD,40.49181,-3.56948,ESP,3117735.0,40.4165,-3.70256,40.4167754,-3.7037902,ChIJgTwKgJcpQg0RaSKMYcHeNsQ,30.266666666666666,7.966666666666667
148,Malaga Airport,Spain,LEMG,Malaga,AGP,36.6749,-4.49911,ESP,2514256.0,36.72016,-4.42034,36.721261,-4.4212655,ChIJLSHbT8RZcg0RzzLKyZLcJWA,22.016666666666666,0.85
150,Santiago de Compostela Airport,Spain,LEST,Santiago de Compostela,SCQ,42.89766,-8.41793,ESP,7100028.0,42.870518,-8.544687,42.8768606,-8.5441729,ChIJp3Hd4kT-Lg0REeOHwIhoFOA,14.35,6.133333333333334
151,Seville Airport,Spain,LEZL,Seville,SVQ,37.418,-5.89311,ESP,2510911.0,37.38283,-5.97317,37.3890924,-5.9844589,ChIJkWK-FBFsEg0RSFb-HGIY8DQ,19.78333333333333,6.616666666666666
152,Valencia Airport,Spain,LEVC,Valencia,VLC,39.48931,-0.48163,ESP,2509954.0,39.46975,-0.37739,39.4699075,-0.3762881,ChIJb7Dv8ExPYA0ROR1_HwFRo7Q,23.933333333333334,6.866666666666666
153,Zaragoza Airport,Spain,LEZG,Zaragoza,ZAZ,41.66624,-1.04155,ESP,3104324.0,41.65606,-0.87734,41.6488226,-0.8890853,ChIJkY5hXt0UWQ0RqImEFfET30k,28.116666666666667,9.016666666666667
154,Gothenburg Landvetter Airport,Sweden,ESGG,Gothenburg,GOT,57.66818,12.29083,SWE,2711537.0,57.70716,11.96679,57.70887,11.97456,ChIJPwdslmeOT0YRQHwOKXiQAQQ,27.116666666666667,11.3
155,Malmö Airport,Sweden,ESMS,Malmö,MMX,55.54205,13.372,SWE,2692969.0,55.60587,13.00073,55.604981,13.003822,ChIJ_5HEdKUFU0YR5YhIvd8FqdM,32.2,5.1
156,Stockholm Arlanda Airport,Sweden,ESSA,Stockholm,ARN,59.652,17.93132,SWE,2673730.0,59.32938,18.06871,59.3293235,18.0685808,ChIJywtkGTF2X0YRZnedZ9MnDag,35.083333333333336,0.05
157,Stockholm Bromma Airport,Sweden,ESSB,Stockholm,BMA,59.35538,17.94561,SWE,2673730.0,59.32938,18.06871,59.3293235,18.0685808,ChIJywtkGTF2X0YRZnedZ9MnDag,18.2,0.05
158,Stockholm Skavsta Airport,Sweden,ESKN,Stockholm,NYO,58.78864,16.91219,SWE,2673730.0,59.32938,18.06871,59.3293235,18.0685808,ChIJywtkGTF2X0YRZnedZ9MnDag,80.83333333333333,0.05
160,Geneva Airport,Switzerland,LSGG,Geneva,GVA,46.23756,6.10921,CHE,2660646.0,46.20222,6.14569,46.2043907,6.1431577,ChIJ6-LQkwZljEcRObwLezWVtqA,25.216666666666665,3.933333333333333
161,Zurich Airport,Switzerland,LSZH,Zurich,ZRH,47.45264,8.5605,CHE,2657896.0,47.36667,8.55,47.3768866,8.541694,ChIJGaK-SZcLkEcRA9wf5_GNbuY,15.6,5.816666666666666
163,Ankara Esenboga Airport,Turkey,LTAC,Ankara,ESB,40.12808,32.99508,TUR,7500010.0,39.936026,32.843815,39.9333635,32.8597419,ChIJsS1zINVH0xQRjSuEwLBX3As,31.3,3.966666666666667
164,Istanbul Airport,Turkey,LTFM,Istanbul,IST,41.2629,28.74242,TUR,7501624.0,40.991,29.037657,41.0082376,28.9783589,ChIJawhoAASnyhQR0LABvJj-zOE,46.73333333333333,27.216666666666665
165,Izmir Adnan Menderes Airport,Turkey,LTBJ,Izmir,ADB,38.29239,27.15695,TUR,7500031.0,38.422413,27.143702,38.423734,27.142826,ChIJzcpip2LYuxQR_uicpaG7jGI,32.733333333333334,5.883333333333334
166,Kharkiv Airport,Ukraine,UKHH,Kharkiv,HRK,49.92479,36.28999,UKR,2200044.0,49.989391,36.203974,50.0020127,36.3073994,ChIJiw-rY5-gJ0ERCr6kGmgYTC0,20.9,18.35
167,Kiev Boryspil Airport,Ukraine,UKBB,Kiev,KBP,50.345,30.89472,UKR,2200005.0,50.440326,30.48919,50.4503596,30.5245025,ChIJBUVa4U7P1EAR_kYBF9IxSXY,37.11666666666667,10.666666666666666
168,Kiev Zhuliany Airport,Ukraine,UKKK,Kiev,IEV,50.40169,30.4497,UKR,2200005.0,50.440326,30.48919,50.4503596,30.5245025,ChIJBUVa4U7P1EAR_kYBF9IxSXY,30.166666666666668,10.666666666666666
169,Lviv Airport,Ukraine,UKLL,Lviv,LWO,49.8125,23.95611,UKR,2200025.0,49.839846,23.994196,49.839683,24.029717,ChIJV5oQCXzdOkcR4ngjARfFI0I,20.766666666666666,12.5
170,Odessa Airport,Ukraine,UKOO,Odessa,ODS,46.42677,30.67646,UKR,2200063.0,46.467579,30.740816,46.4702111,30.7306393,ChIJQ0yGC4oxxkARbBfyjOKPnxI,16.733333333333334,4.066666666666666
171,Aberdeen Airport,United Kingdom,EGPD,Aberdeen,ABZ,57.20194,-2.19778,GBR,2657832.0,57.14369,-2.09814,57.1498891,-2.0937528,ChIJSXXXH0wFhEgRcsT0XNoFu-g,18.633333333333333,6.7
172,Belfast City Airport,United Kingdom,EGAC,Belfast,BHD,54.61806,-5.8725,GBR,2655984.0,54.59682,-5.92541,54.597285,-5.93012,ChIJO4rQ1_3_YEgRMcXH7ywWVy4,12.516666666666667,1.8333333333333333
173,Belfast International Airport,United Kingdom,EGAA,Belfast,BFS,54.6575,-6.21583,GBR,2655984.0,54.59682,-5.92541,54.597285,-5.93012,ChIJO4rQ1_3_YEgRMcXH7ywWVy4,29.45,1.8333333333333333
174,Birmingham Airport,United Kingdom,EGBB,Birmingham,BHX,52.45386,-1.74803,GBR,2655603.0,52.48142,-1.89983,52.486243,-1.890401,ChIJc3FBGy2UcEgRmHnurvD-gco,25.383333333333333,5.733333333333333
175,Bristol Airport,United Kingdom,EGGD,Bristol,BRS,51.38267,-2.71909,GBR,2654675.0,51.45523,-2.59665,51.454513,-2.58791,ChIJYdizgWaDcUgRH9eaSy6y5I4,26.65,13.066666666666666
176,Cardiff Airport,United Kingdom,EGFF,Cardiff,CWL,51.39667,-3.34333,GBR,2653822.0,51.48,-3.18,51.483707,-3.1680962,ChIJ9VPsNNQCbkgRDmeGZdsGNBQ,31.08333333333333,7.483333333333333
177,Edinburgh Airport,United Kingdom,EGPH,Edinburgh,EDI,55.95,-3.3725,GBR,2650225.0,55.95206,-3.19648,55.953252,-3.188267,ChIJIyaYpQC4h0gRJxfnfHsU8mQ,30.166666666666668,7.7
178,Glasgow Airport,United Kingdom,EGPF,Glasgow,GLA,55.87194,-4.43306,GBR,2648579.0,55.86515,-4.25763,55.8616704,-4.2583345,ChIJ685WIFYViEgRHlHvBbiD5nE,16.116666666666667,1.9666666666666663
179,Glasgow Prestwick Airport,United Kingdom,EGPK,Glasgow,PIK,55.50944,-4.58667,GBR,2648579.0,55.86515,-4.25763,55.8616704,-4.2583345,ChIJ685WIFYViEgRHlHvBbiD5nE,38.13333333333333,1.9666666666666663
180,Leeds Bradford Airport,United Kingdom,EGNM,Leeds,LBA,53.8659,-1.66057,GBR,2644688.0,53.79648,-1.54785,53.8007554,-1.5490774,ChIJmb1k2ko-eUgRqdwTAv26rVE,27.9,5.883333333333334
181,Liverpool Airport,United Kingdom,EGGP,Liverpool,LPL,53.33333,-2.85,GBR,2644210.0,53.41058,-2.97794,53.4083714,-2.9915726,ChIJt2BwZIrfekgRAW4XP28E3EI,34.95,7.366666666666666
182,London City Airport,United Kingdom,EGLC,London,LCY,51.50528,0.05528,GBR,2643743.0,51.50853,-0.12574,51.5072178,-0.1275862,ChIJdd4hrwug2EcRmSrV3Vo6llI,35.1,5.85
183,London Gatwick Airport,United Kingdom,EGKK,London,LGW,51.15609,-0.17818,GBR,2643743.0,51.50853,-0.12574,51.5072178,-0.1275862,ChIJdd4hrwug2EcRmSrV3Vo6llI,84.18333333333334,5.85
184,London Heathrow Airport,United Kingdom,EGLL,London,LHR,51.47115,-0.45649,GBR,2643743.0,51.50853,-0.12574,51.5072178,-0.1275862,ChIJdd4hrwug2EcRmSrV3Vo6llI,42.38333333333333,5.85
185,London Luton Airport,United Kingdom,EGGW,London,LTN,51.87472,-0.36833,GBR,2643743.0,51.50853,-0.12574,51.5072178,-0.1275862,ChIJdd4hrwug2EcRmSrV3Vo6llI,66.66666666666667,5.85
186,London Southend Airport,United Kingdom,EGMC,London,SEN,51.57139,0.69556,GBR,2643743.0,51.50853,-0.12574,51.5072178,-0.1275862,ChIJdd4hrwug2EcRmSrV3Vo6llI,73.9,5.85
187,London Stansted Airport,United Kingdom,EGSS,London,STN,51.885,0.235,GBR,2643743.0,51.50853,-0.12574,51.5072178,-0.1275862,ChIJdd4hrwug2EcRmSrV3Vo6llI,65.46666666666667,5.85
188,Manchester Airport,United Kingdom,EGCC,Manchester,MAN,53.35374,-2.27495,GBR,2643123.0,53.48095,-2.23743,53.4807593,-2.2426305,ChIJ2_UmUkxNekgRqmv-BDgUvtk,35.46666666666667,5.966666666666667
189,Newcastle Airport,United Kingdom,EGNT,Newcastle,NCL,55.0375,-1.69167,GBR,2641673.0,54.97328,-1.61396,54.978252,-1.61778,ChIJzWRvDH6FfUgRkWGncrBS4gs,15.483333333333333,6.766666666666667
190,Southampton Airport,United Kingdom,EGHI,Southampton,SOU,50.95026,-1.3568,GBR,2637487.0,50.90395,-1.40428,50.9105468,-1.4049018,ChIJCSkVvleJc0gR8HHaTGpajKc,13.1,7.133333333333334
