,Airport,Country,icao_code,city,iata_code,airport_lat,airport_lng,iso_country_code,chronotrain_id,train_station_lat,train_station_lng,city_lat,city_lng,place_id,airport_duration,station_duration
34,Biarritz Airport,France,LFBZ,Biarritz,BIQ,43.46842,-1.52333,FRA,8700114.0,43.459186,-1.546073,43.4831519,-1.558626,ChIJMx7zCisVUQ0RMKgTSBdlBgQ,10.25,9.483333333333333
35,Bordeaux Airport,France,LFBD,Bordeaux,BOD,44.82834,-0.71556,FRA,3031582.0,44.84044,-0.5805,44.837789,-0.57918,ChIJgcpR9-gnVQ0RiXo5ewOGY3k,28.383333333333333,3.933333333333333
36,Brest Bretagne Airport,France,LFRB,Brest,BES,48.44791,-4.41854,FRA,3030300.0,48.39029,-4.48628,48.3907119,-4.4869723,ChIJk1uS2eG7FkgRqzCcF1iDSMY,15.283333333333331,0.3
38,Lyon-Saint Exupéry Airport,France,LFLL,Lyon-St,LYS,45.72639,5.09083,FRA,8702384.0,45.720908,5.075822,45.76,4.84,ChIJURT_WMuAhYARD5c7NqPrekA,28.516666666666666,31.0
39,Marseille Airport,France,LFML,Marseille,MRS,43.43556,5.21361,FRA,2995469.0,43.29695,5.38107,43.296482,5.36978,ChIJM1PaREO_yRIRIAKX_aUZCAQ,26.683333333333334,9.983333333333333
40,Montpellier Airport,France,LFMT,Montpellier,MPL,43.57762,3.9586,FRA,2992166.0,43.61093,3.87635,43.610769,3.876716,ChIJsZ3dJQevthIRAuiUKHRWh60,23.73333333333333,0.4833333333333333
41,Nantes Airport,France,LFRS,Nantes,NTE,47.15319,-1.61072,FRA,2990969.0,47.21725,-1.55336,47.218371,-1.553621,ChIJra6o8IHuBUgRMO0NHlI3DQQ,23.28333333333333,1.45
42,Nice Airport,France,LFMN,Nice,NCE,43.66272,7.20787,FRA,2990440.0,43.70313,7.26608,43.7101728,7.2619532,ChIJMS2FahDQzRIRcJqX_aUZCAQ,16.55,6.65
43,Paris Beauvais Airport,France,LFOB,Paris,BVA,49.45444,2.11278,FRA,2988507.0,48.85341,2.3488,48.856614,2.3522219,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,85.26666666666667,4.033333333333333
44,Paris Charles de Gaulle Airport,France,LFPG,Paris,CDG,49.01278,2.55,FRA,2988507.0,48.85341,2.3488,48.856614,2.3522219,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,38.25,4.033333333333333
45,Paris Orly Airport,France,LFPO,Paris,ORY,48.72528,2.35944,FRA,2988507.0,48.85341,2.3488,48.856614,2.3522219,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,27.15,4.033333333333333
46,Rennes Bretagne Airport,France,LFRN,Rennes,RNS,48.06951,-1.73479,FRA,2983990.0,48.11198,-1.67429,48.117266,-1.6777926,ChIJhZDWpy_eDkgRMKvkNs2lDAQ,21.316666666666663,5.716666666666667
47,Strasbourg Airport,France,LFST,Strasbourg,SXB,48.53832,7.62823,FRA,2973783.0,48.58392,7.74553,48.5734053,7.7521113,ChIJwbIYXknIlkcRHyTnGDFIGpc,23.416666666666668,13.566666666666666
48,Toulouse Blagnac Airport,France,LFBO,Toulouse,TLS,43.62908,1.36382,FRA,2972315.0,43.60426,1.44367,43.604652,1.444209,ChIJ_1J17G-7rhIRMBBBL5z2BgQ,21.683333333333334,3.2333333333333334
49,Allgäu Airport Memmingen,Germany,EDJA,Memmingen,FMM,47.98751,10.23622,DEU,8000249.0,47.985848,10.186954,47.9837999,10.1801883,ChIJP_ogz1fym0cR2CeWXchIgM8,13.016666666666667,3.6666666666666665
50,Berlin Brandenburg Airport,Germany,EDDB,Berlin Brandenburg,BER,52.36213,13.50168,DEU,8089044.0,52.516465,13.381693,52.4938053,13.4552919,ChIJt3mAQDdOqEcRcSlyLe0qgtg,24.53333333333333,20.816666666666663
51,Bremen Airport,Germany,EDDW,Bremen,BRE,53.0475,8.78667,DEU,2944388.0,53.07582,8.80717,53.0792962,8.8016937,ChIJNePuDBAosUcRUd83-VyI6MI,11.716666666666669,6.816666666666666
52,Cologne Bonn Airport,Germany,EDDK,Cologne,CGN,50.87894,7.12292,DEU,2886242.0,50.93333,6.95,50.937531,6.9602786,ChIJ5S-raZElv0cR8HcqSvxgJwQ,23.866666666666667,4.516666666666667
53,Dortmund Airport,Germany,EDLW,Dortmund,DTM,51.51831,7.61224,DEU,2935517.0,51.51494,7.466,51.5135872,7.4652981,ChIJEXrwv2AXuUcRUIdUMYHyJwQ,21.883333333333333,9.066666666666666
54,Dresden Airport,Germany,EDDC,Dresden,DRS,51.13277,13.76716,DEU,2935022.0,51.05089,13.73832,51.0504088,13.7372621,ChIJqdYaECnPCUcRsP6IQsuxIQQ,21.55,1.35
55,Düsseldorf Airport,Germany,EDDL,Düsseldorf,DUS,51.28066,6.76715,DEU,2934246.0,51.22172,6.77616,51.2277411,6.7734556,ChIJB1lG8XvJuEcRsHMqSvxgJwQ,13.516666666666667,7.483333333333333
56,Frankfurt Airport,Germany,EDDF,Frankfurt,FRA,50.0406,8.55603,DEU,2925533.0,50.11552,8.68417,50.1109221,8.6821267,ChIJxZZwR28JvUcRAMawKVBDIgQ,21.28333333333333,8.983333333333333
57,Friedrichshafen Airport,Germany,EDNY,Friedrichshafen,FDH,47.66667,9.5,DEU,8002120.0,47.672268,9.523837,47.6567329,9.4649538,ChIJ080TOl4Am0cRIITfpbdrHwQ,7.666666666666667,8.916666666666666
58,Hamburg Airport,Germany,EDDH,Hamburg,HAM,53.63039,9.98823,DEU,2911298.0,53.55073,9.99302,53.5488282,9.9871703,ChIJuRMYfoNhsUcRoDrWe_I9JgQ,30.08333333333333,11.2
59,Hanover Airport,Germany,EDDV,Hanover,HAJ,52.45957,9.69269,DEU,2910831.0,52.37052,9.73322,52.3758916,9.7320104,ChIJhU9JTVELsEcRIEeslG2sJQQ,23.133333333333333,7.25
60,Karlsruhe Baden-Baden Airport,Germany,EDSB,Karlsruhe,FKB,48.77935,8.0805,DEU,2892794.0,49.00937,8.40444,49.0068901,8.4036527,ChIJCXjgokgGl0cRf-63THNV_LY,37.03333333333333,1.3666666666666667
61,Leipzig Halle Airport,Germany,EDDP,Leipzig,LEJ,51.42126,12.22195,DEU,2879139.0,51.33962,12.37129,51.3396955,12.3730747,ChIJcywPIBj4pkcRUvW0udKA35M,24.75,2.283333333333333
62,Munich Airport,Germany,EDDM,Munich,MUC,48.35378,11.78609,DEU,2867714.0,48.13743,11.57549,48.1351253,11.5819806,ChIJ2V-Mo_l1nkcRfZixfUq4DAE,32.31666666666667,4.95
63,Nuremberg Airport,Germany,EDDN,Nuremberg,NUE,49.49575,11.07576,DEU,2861650.0,49.45421,11.07752,49.4521018,11.0766654,ChIJ0xy2ta5Xn0cRtyGMqYWvXd0,19.1,12.283333333333331
64,Paderborn Lippstadt Airport,Germany,EDLP,Paderborn,PAD,51.6081,8.61139,DEU,8000297.0,51.712946,8.740949,51.7189205,8.7575093,ChIJ2x1hYZZMukcR7iLvWCqHzHM,26.5,10.45
65,Stuttgart Airport,Germany,EDDS,Stuttgart,STR,48.69034,9.19521,DEU,2825297.0,48.78232,9.17702,48.7758459,9.1829321,ChIJ04-twTTbmUcR5M-RdxzB1Xk,18.6,6.1
66,Weeze Airport,Germany,EDLV,Weeze,NRN,51.6025,6.14222,DEU,8006240.0,51.62434,6.197865,51.6266679,6.1968442,ChIJ3cCvczlvx0cRQHVUMYHyJwQ,12.116666666666667,3.4166666666666665
67,Athens Airport,Greece,LGAV,Athens,ATH,37.93636,23.94447,GRC,264371.0,37.98376,23.72784,37.9838096,23.7275388,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,36.5,0.1
69,Thessaloniki Airport,Greece,LGTS,Thessaloniki,SKG,40.51973,22.97095,GRC,734077.0,40.64361,22.93086,40.6400629,22.9444191,ChIJ7eAoFPQ4qBQRqXTVuBXnugk,23.716666666666665,6.3
70,Budapest Airport,Hungary,LHBP,Budapest,BUD,47.43693,19.25559,HUN,3054643.0,47.49835,19.04045,47.497912,19.040235,ChIJyc_U0TTDQUcRYBEeDCnEAAQ,31.666666666666668,0.0
71,Debrecen Airport,Hungary,LHDC,Debrecen,DEB,47.48892,21.61533,HUN,721472.0,47.53167,21.62444,47.5288879,21.6254485,ChIJgyte_ioMR0cRcBEeDCnEAAQ,10.166666666666666,6.25
72,Cork Airport,Ireland,EICK,Cork,ORK,51.84127,-8.49111,IRL,2965140.0,51.89797,-8.47061,51.8985143,-8.4756035,ChIJYbm-kQiQREgR0MUxl6nHAAo,14.95,4.55
73,Dublin Airport,Ireland,EIDW,Dublin,DUB,53.42133,-6.27008,IRL,2964574.0,53.33306,-6.24889,53.3498053,-6.2603097,ChIJL6wn6oAOZ0gRoHExl6nHAAo,25.016666666666666,21.23333333333333
74,Ancona Airport,Italy,LIPY,Ancona,AOI,43.61634,13.36232,ITA,8336329.0,43.610142,13.455611,43.6158299,13.518915,ChIJw6lHJCqALRMRrMU_VIBWrQ8,24.766666666666666,10.55
76,Bergamo Airport,Italy,LIME,Bergamo,BGY,45.67389,9.70417,ITA,3182164.0,45.69601,9.66721,45.6982642,9.6772698,ChIJc65ivBFRgUcR0aTlC4_LL9M,14.383333333333333,3.7666666666666666
77,Bologna Airport,Italy,LIPE,Bologna,BLQ,44.53544,11.28867,ITA,3181928.0,44.49381,11.33875,44.494887,11.3426163,ChIJC8RR6ZjUf0cRQZSkWwF84aI,25.866666666666667,8.15
78,Brindisi Airport,Italy,LIBR,Brindisi,BDS,40.65763,17.94703,ITA,8311139.0,40.625409,17.90947,40.6327278,17.9417616,ChIJbeyAyTt6RhMR-doDzPfOEAE,13.2,10.166666666666666
79,Catania Fontanarossa Airport,Italy,LICC,Catania,CTA,37.46678,15.0664,ITA,2525068.0,37.49223,15.07041,37.5078772,15.0830304,ChIJtSUVdt3iExMR8DzIUWGH_lg,16.866666666666667,10.366666666666667
80,Comiso Airport,Italy,LICB,Comiso,CIY,36.9959,14.6092,ITA,8302524.0,36.947283,14.60054,36.9361931,14.577181,ChIJi41fta6jERMRCMkv-XqkLus,18.316666666666663,7.15
81,Florence Airport,Italy,LIRQ,Florence,FLR,43.80995,11.2051,ITA,3176959.0,43.77925,11.24626,43.7695604,11.2558136,ChIJrdbSgKZWKhMRAyrH7xd51ZM,30.516666666666666,19.183333333333334
82,Genoa Airport,Italy,LIMJ,Genoa,GOA,44.41493,8.85041,ITA,3176219.0,44.40478,8.94439,44.4056499,8.946256,ChIJrZrU3FJB0xIRCmKBGPGEaiM,19.516666666666666,3.816666666666667
83,Lamezia Terme Airport,Italy,LICA,Lamezia Terme,SUF,38.90539,16.24227,ITA,8300328.0,38.921162,16.256021,38.962912,16.3092719,ChIJYR5DxA_lPxMRIvzqOYvZh8g,14.633333333333333,11.866666666666667
84,Milan Linate Airport,Italy,LIML,Milan,LIN,45.46081,9.27952,ITA,3173435.0,45.46427,9.18951,45.4642035,9.189982,ChIJ53USP0nBhkcRjQ50xhPN_zw,24.916666666666668,0.0
85,Milan Malpensa Airport,Italy,LIMC,Milan,MXP,45.62754,8.71508,ITA,3173435.0,45.46427,9.18951,45.4642035,9.189982,ChIJ53USP0nBhkcRjQ50xhPN_zw,55.85,0.0
86,Naples Airport,Italy,LIRN,Naples,NAP,40.88603,14.29078,ITA,3172394.0,40.85216,14.26811,40.8517983,14.26812,ChIJmX5sak8IOxMRHRl4O8Es9T0,15.533333333333331,0.2
88,Palermo Airport,Italy,LICJ,Palermo,PMO,38.17596,13.09102,ITA,2523920.0,38.1166,13.3636,38.11569,13.3614868,ChIJmdBOgcnoGRMRgNg7IywECwo,40.46666666666667,1.5166666666666666
89,Perugia Airport,Italy,LIRZ,Perugia,PEG,43.09591,12.51322,ITA,3171180.0,43.1122,12.38878,43.1107168,12.3908279,ChIJT8NR6oygLhMR9MdPiCrrOc4,21.633333333333333,8.416666666666666
90,Pescara Airport,Italy,LIBP,Pescara,PSR,42.43286,14.18678,ITA,3171168.0,42.4584,14.20283,42.4617902,14.2160898,ChIJd2QouQ2mMRMR4r8ssomeuKA,7.133333333333334,3.5166666666666666
91,Pisa Airport,Italy,LIRP,Pisa,PSA,43.68392,10.39275,ITA,3170647.0,43.70853,10.4036,43.7228386,10.4016888,ChIJj1n28JqR1RIRyHiEp7UPuKo,11.366666666666667,11.583333333333334
92,Rome Ciampino Airport,Italy,LIRA,Rome,CIA,41.79936,12.59494,ITA,3169070.0,41.89193,12.51133,41.9027835,12.4963655,ChIJu46S-ZZhLxMROG5lkwZ3D7k,37.833333333333336,9.15
93,Rome Fiumicino Airport,Italy,LIRF,Rome,FCO,41.79352,12.25259,ITA,3169070.0,41.89193,12.51133,41.9027835,12.4963655,ChIJu46S-ZZhLxMROG5lkwZ3D7k,42.05,9.15
94,Trapani Airport,Italy,LICT,Trapani,TPS,37.9114,12.48796,ITA,8300340.0,38.017278,12.519304,38.0173505,12.5365171,ChIJX5Ck1i9iGRMRgjSY-bze8Ys,26.78333333333333,5.716666666666667
95,Treviso Airport,Italy,LIPH,Treviso,TSF,45.6484,12.19442,ITA,8300130.0,45.6597,12.245133,45.6668893,12.2430437,ChIJUd4MwdM3eUcRjXQiXACb9kI,12.55,5.1
